HOTRAZONSOCIAL,HOTLOCALIDAD,ANIO,MES,DIAS,Importe,CARGO
CABAÑAS PUERTO HAMLET,CARILÓ,2023,1,3,167826,1731
CABAÑAS PUERTO HAMLET,CARILÓ,2023,1,3,223767,1731
CABAÑAS PUERTO HAMLET,CARILÓ,2023,2,3,167826,1731
DESIGN BUENOS AIRES,C.A.B.A.,2022,4,3,19058,1731
TRONADOR,MAR DEL PLATA,2022,3,7,54880,1360
TRONADOR,MAR DEL PLATA,2020,3,7,26656,1360
TRONADOR,MAR DEL PLATA,2023,2,4,62400,1360
TRONADOR,MAR DEL PLATA,2023,3,3,46800,1360
LAS CUMBRES,SAN MARTÍN DE LOS ANDES,2023,7,7,320854,4513
CABAÑAS PUERTO HAMLET,CARILÓ,2022,7,7,78204,4513
CABAÑAS PUERTO HAMLET,CARILÓ,2023,11,4,108300,4513
PORTASOL APART HOTEL,PINAMAR - MUELLE DE PINAMAR,2020,12,4,38192,1150
HOWARD JOHNSON PLAZA BUENOS AIRES,C.A.B.A.,2022,6,3,16971,1731
DESIGN BUENOS AIRES,C.A.B.A.,2023,6,4,77628,1731
HOTEL SANTA ELÍA,MAR DEL PLATA,2023,7,6,63420,1711
AMÉRIAN - TUCUMÁN,SAN MIGUEL DE TUCUMÁN,2023,9,7,114837,1711
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2023,7,1,36971,1721
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2023,7,4,147882,1721
HOWARD JOHNSON CÓRDOBA,CORDOBA,2023,2,3,46589,1721
ALTOS DE MERLO,VILLA DE MERLO,2020,2,7,29400,1721
HOSTERÍA DEL CERRO,VILLA CATEDRAL, SAN CARLOS DE BARILOCHE,2020,3,5,23910,1372
HOTEL DEL SOL,C.A.B.A.,2023,6,3,30825,1372
HOTEL DEL SOL,C.A.B.A.,2023,6,1,10275,1372
DESIGN BUENOS AIRES,C.A.B.A.,2023,6,10,155526,1313
DESIGN BUENOS AIRES,C.A.B.A.,2023,7,4,248949,1731
CASEROS 248,CORDOBA,2023,2,3,79606,1731
AMÉRIAN CARLOS PAZ,VILLA CARLOS PAZ,2021,2,3,30189,1731
DESIGN BUENOS AIRES,C.A.B.A.,2023,6,2,37705,1340
DESIGN BUENOS AIRES,C.A.B.A.,2023,6,3,56558,1340
TRONADOR,MAR DEL PLATA,2022,1,9,73080,JJJJ
AMÉRIAN CARLOS PAZ,VILLA CARLOS PAZ,2022,8,3,27279,JJJJ
ALEJANDRO I,SALTA,2022,10,3,45738,JJJJ
CABAÑAS PUERTO HAMLET,CARILÓ,2021,11,1,6251,1360
RESIDENCIA SERRANA DE TANTI,TANTI - VILLA SANTA CRUZ DEL LAGO - CORDOBA,2023,4,3,116550,4420
RESIDENCIA SERRANA DE TANTI,TANTI - VILLA SANTA CRUZ DEL LAGO - CORDOBA,2023,10,3,220500,4420
ALEJANDRO I,SALTA,2021,2,3,18915,82,1180
RIVIERA TOWER SUITES,VILLA CARLOS PAZ,2023,9,5,72000,1721
PINARES PANORAMA SUITES & SPA,VILLA CARLOS PAZ,2020,1,4,21840,1731
HOTEL DEL SOL,C.A.B.A.,2020,2,1,2464,1731
HOTEL DEL SOL,C.A.B.A.,2020,2,3,7392,1731
SAVOIA - OSTENDE,OSTENDE,2020,1,11,66297,1731
PORTASOL APART HOTEL,PINAMAR - MUELLE DE PINAMAR,2023,1,3,128557,1731
PORTASOL APART HOTEL,PINAMAR - MUELLE DE PINAMAR,2023,2,10,368691,1731
CABAÑAS PUERTO HAMLET,CARILÓ,2021,1,7,60550,1733
CABAÑAS COIRÓN,VILLA GESELL,2022,2,3,28800,1731
CABAÑAS COIRÓN,VILLA GESELL,2022,3,2,9800,1731
CABAÑAS COIRÓN,VILLA GESELL,2023,3,5,60000,1731
SAVOIA - OSTENDE,OSTENDE,2023,3,6,75600,1190
LOS YÁMANAS,USHUAIA,2022,8,4,54432,1190
ARENA RESORT HOTEL,FEDERACION, ENTRE RIOS,2020,2,6,23814,1190
ARENA RESORT HOTEL,FEDERACION, ENTRE RIOS,2022,7,7,273910,1372
RESIDENCIA PARQUE BONITO,VILLA GESELL,2023,1,6,193950,1721
TRONADOR,MAR DEL PLATA,2021,11,7,61600,1721
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2022,1,5,44080,3,1721
DAZZLER,PUERTO MADRYN,2022,2,6,41526,1721
HOTEL DEL SOL,C.A.B.A.,2023,2,4,39667,1721
LOS YÁMANAS,USHUAIA,2023,4,5,176715,1721
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2023,9,4,185424,1721
RESIDENCIA SERRANA DE TANTI,TANTI - VILLA SANTA CRUZ DEL LAGO - CORDOBA,2023,2,10,173600,1372
MÉRIT - PUERTO IGUAZÚ,PUERTO IGUAZÚ - MISIONES,2023,8,5,133539,1372
CABAÑAS PUERTO HAMLET,CARILÓ,2023,3,2,39615,JJJJ
ALTOS DE MERLO,VILLA DE MERLO,2023,6,2,28800,JJJJ
AMÉRIAN CARLOS PAZ,VILLA CARLOS PAZ,2023,6,2,29700,JJJJ
ALTOS DE BELGRANO,VILLA GENERAL BELGRANO (5194),2023,6,2,40028,JJJJ
PARADISO PLAYA,VALERIA DEL MAR,2022,12,3,68198,1170
TRONADOR,MAR DEL PLATA,2023,11,3,120000,1711
TRONADOR,MAR DEL PLATA,2021,1,1,4620,1180
LOS YÁMANAS,USHUAIA,2023,2,5,145530,1190
DESIGN BARILOCHE,SAN CARLOS DE BARILOCHE,2023,10,2,88594,1190
AMÉRIAN - TUCUMÁN,SAN MIGUEL DE TUCUMÁN,2023,8,5,76422,1721
DESIGN BUENOS AIRES,C.A.B.A.,2021,11,1,5506,1721
ARENA RESORT HOTEL,FEDERACION, ENTRE RIOS,2022,1,7,77700,1372
TRONADOR,MAR DEL PLATA,2022,8,3,40950,1372
BAHÍA MONTAÑA RESORT,VILLA LA ANGOSTURA, NEUQUÉN,2023,11,7,373100,1372
AMÉRIAN CARLOS PAZ,VILLA CARLOS PAZ,2023,7,3,71820,1721
CABAÑAS COIRÓN,VILLA GESELL,2020,2,7,26460,1372
PARADISO PLAYA,VALERIA DEL MAR,2020,1,11,76307,1160
PORTASOL APART HOTEL,PINAMAR - MUELLE DE PINAMAR,2023,12,9,668138,1160
PARADISO PLAYA,VALERIA DEL MAR,2020,2,10,69130,1360
PARADISO PLAYA,VALERIA DEL MAR,2020,2,10,60490,1360
HOTEL PRESIDENTE ****,ROSARIO - SANTA FE,2022,2,1,9113,1360
ALTOS DE BELGRANO,VILLA GENERAL BELGRANO (5194),2020,3,5,16403,1731
TRONADOR,MAR DEL PLATA,2022,1,4,45600,1372
SAVOIA - OSTENDE,OSTENDE,2022,2,7,68600,4612
TRONADOR,MAR DEL PLATA,2021,11,4,17920,4612
ALTOS DE BELGRANO,VILLA GENERAL BELGRANO (5194),2020,3,5,14490,4612
TRONADOR,MAR DEL PLATA,2021,8,3,11760,4612
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2022,11,7,79851,4612
PARADISO PLAYA,VALERIA DEL MAR,2024,1,8,1193334,1140
HOTEL PRESIDENTE ****,ROSARIO - SANTA FE,2023,9,2,41791,1150
HOTEL DEL SOL,C.A.B.A.,2021,10,1,2496,1371
HOWARD JOHNSON PLAZA BUENOS AIRES,C.A.B.A.,2022,10,4,35937,1312
CASEROS 248,CORDOBA,2022,6,3,25469,1312
HOTEL HUAICO,SALTA,2020,5,7,23338,1312
DESIGN CALAFATE,CALAFATE,2021,10,1,6516,JJJJ
HOSTERÍA DEL CERRO,VILLA CATEDRAL, SAN CARLOS DE BARILOCHE,2023,12,7,527765,1180
LAS CUMBRES,SAN MARTÍN DE LOS ANDES,2024,1,5,277313,1180
BAHÍA MONTAÑA RESORT,VILLA LA ANGOSTURA, NEUQUÉN,2023,8,7,277200,1340
DESIGN BUENOS AIRES,C.A.B.A.,2022,11,4,57829,1340
LAS CUMBRES,SAN MARTÍN DE LOS ANDES,2020,1,5,27520,1340
DESIGN BUENOS AIRES,C.A.B.A.,2021,10,3,18552,1340
HOSTAL DEL SOL,SAN BERNARDO,2022,12,5,52566,1721
PORTAL DEL IGUAZÚ,PUERTO IGUAZÚ,2023,6,5,157610,1721
RESIDENCIA SERRANA DE TANTI,TANTI - VILLA SANTA CRUZ DEL LAGO - CORDOBA,2023,2,10,299250,1173
RESIDENCIA SERRANA DE TANTI,TANTI - VILLA SANTA CRUZ DEL LAGO - CORDOBA,2023,2,10,279300,1173
PARADISO PLAYA,VALERIA DEL MAR,2022,4,3,36039,1173
PORTAL DEL IGUAZÚ,PUERTO IGUAZÚ,2021,12,7,45491,1360
DESIGN SALTA,SALTA,2022,4,1,13353,1360
SAVOIA - OSTENDE,OSTENDE,2022,2,6,107100,1340
SAVOIA - OSTENDE,OSTENDE,2022,2,6,151620,1340
SAVOIA - OSTENDE,OSTENDE,2020,1,6,63375,1340
SAVOIA - OSTENDE,OSTENDE,2020,1,6,41437,5,1340
DESIGN BARILOCHE,SAN CARLOS DE BARILOCHE,2020,3,7,39949,1340
CABAÑAS PUERTO HAMLET,CARILÓ,2022,12,9,354075,1340
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2023,10,2,91731,1340
ARENA RESORT HOTEL,FEDERACION, ENTRE RIOS,2021,7,3,33414,1731
MÉRIT - PUERTO IGUAZÚ,PUERTO IGUAZÚ - MISIONES,2021,7,3,25698,1731
CABAÑAS COIRÓN,VILLA GESELL,2020,2,7,28350,1372
CABAÑAS COIRÓN,VILLA GESELL,2020,3,9,20250,1372
CABAÑAS COIRÓN,VILLA GESELL,2023,2,6,126000,1372
PARADISO PLAYA,VALERIA DEL MAR,2023,3,6,171554,1372
VALERIA,VALERIA DEL MAR,2023,1,14,532350,4611
RESIDENCIA PARQUE BONITO,VILLA GESELL,2020,1,7,26327,1372
PORTAL DEL IGUAZÚ,PUERTO IGUAZÚ,2023,10,4,191583,1372
HOWARD JOHNSON PLAZA BUENOS AIRES,C.A.B.A.,2023,11,1,53089,1372
LOS YÁMANAS,USHUAIA,2023,7,7,426668,1130
ALEJANDRO I,SALTA,2020,4,4,20760,1130
MÉRIT - PUERTO IGUAZÚ,PUERTO IGUAZÚ - MISIONES,2020,4,3,11139,1372
MÉRIT - PUERTO IGUAZÚ,PUERTO IGUAZÚ - MISIONES,2020,4,3,12030,1372
AMÉRIAN CARLOS PAZ,VILLA CARLOS PAZ,2023,8,3,47418,1372
SAVOIA - OSTENDE,OSTENDE,2020,2,14,170100,1140
SAVOIA - OSTENDE,OSTENDE,2022,1,3,89100,1140
SAVOIA - OSTENDE,OSTENDE,2022,2,11,326700,1140
SAVOIA - OSTENDE,OSTENDE,2023,2,13,468650,1140
CABAÑAS PUERTO HAMLET,CARILÓ,2023,1,3,144611,1170
CABAÑAS PUERTO HAMLET,CARILÓ,2023,2,4,192814,1170
VALERIA,VALERIA DEL MAR,2023,4,7,237300,1140
VALERIA,VALERIA DEL MAR,2020,1,3,15075,1140
ALEJANDRO I,SALTA,2020,3,4,15012,1140
VALERIA,VALERIA DEL MAR,2021,7,7,77700,1140
LAS CUMBRES,SAN MARTÍN DE LOS ANDES,2024,1,10,682125,1150
RESIDENCIA SERRANA DE TANTI,TANTI - VILLA SANTA CRUZ DEL LAGO - CORDOBA,2020,2,10,88890,1170
DESIGN BUENOS AIRES,C.A.B.A.,2022,11,1,16608,1372
HOTEL SANTA ELÍA,MAR DEL PLATA,2022,11,1,5550,1372
DESIGN BUENOS AIRES,C.A.B.A.,2023,6,2,33269,1372
LAS CUMBRES,SAN MARTÍN DE LOS ANDES,2023,11,2,49725,1372
HOWARD JOHNSON PLAZA BUENOS AIRES,C.A.B.A.,2023,10,1,32670,1372
LOS YÁMANAS,USHUAIA,2022,6,4,81807,1165
PARADISO PLAYA,VALERIA DEL MAR,2023,1,11,481913,4613
PARADISO PLAYA,VALERIA DEL MAR,2020,1,7,52521,4613
PARADISO PLAYA,VALERIA DEL MAR,2020,2,1,6411,4613
PARADISO PLAYA,VALERIA DEL MAR,2021,1,10,154310,4613
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2021,4,8,36440,4613
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2021,4,8,47242,4613
DESIGN BUENOS AIRES,C.A.B.A.,2023,5,1,15526,4613
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2022,11,6,136597,4613
HOWARD JOHNSON PLAZA BUENOS AIRES,C.A.B.A.,2023,10,1,45375,4613
HOWARD JOHNSON PLAZA BUENOS AIRES,C.A.B.A.,2023,10,1,42350,4613
DESIGN BARILOCHE,SAN CARLOS DE BARILOCHE,2020,3,4,19176,4430
ALTOS DE BELGRANO,VILLA GENERAL BELGRANO (5194),2022,10,3,47061,4430
AMÉRIAN CARLOS PAZ,VILLA CARLOS PAZ,2022,9,3,32697,4430
CABAÑAS PUERTO HAMLET,CARILÓ,2021,10,5,22943,4430
ALTOS DE BELGRANO,VILLA GENERAL BELGRANO (5194),2021,12,4,33012,4430
ALTOS DE MERLO,VILLA DE MERLO,2021,12,4,28000,4430
HOTEL SANTA ELÍA,MAR DEL PLATA,2021,11,4,11764,1731
RESIDENCIA PARQUE BONITO,VILLA GESELL,2021,11,6,18450,1731
CABAÑAS PUERTO HAMLET,CARILÓ,2022,10,4,40166,1721
ARENA RESORT HOTEL,FEDERACION, ENTRE RIOS,2022,8,4,52110,1721
ALTOS DE BELGRANO,VILLA GENERAL BELGRANO (5194),2023,2,9,291600,1721
DESIGN BARILOCHE,SAN CARLOS DE BARILOCHE,2023,10,7,332228,1721
TRONADOR,MAR DEL PLATA,2023,3,5,72000,1180
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2022,6,1,14137,1180
TRONADOR,MAR DEL PLATA,2020,1,1,3108,1180
TRONADOR,MAR DEL PLATA,2020,1,342,3108,1180
TRONADOR,MAR DEL PLATA,2020,1,1,3108,1180
RESIDENCIA PARQUE BONITO,VILLA GESELL,2020,1,1,4193,1180
ARENA RESORT HOTEL,FEDERACION, ENTRE RIOS,2021,9,1,7796,5,1180
ARENA RESORT HOTEL,FEDERACION, ENTRE RIOS,2021,9,1,7796,5,1180
TRONADOR,MAR DEL PLATA,2023,10,6,187200,1180
ARENA RESORT HOTEL,FEDERACION, ENTRE RIOS,2023,7,3,171780,1731
CABAÑAS PUERTO HAMLET,CARILÓ,2023,1,280,391593,1731
TRONADOR,MAR DEL PLATA,2022,9,3,52800,1721
CABAÑAS PUERTO HAMLET,CARILÓ,2020,2,5,37360,3413
CABAÑAS PUERTO HAMLET,CARILÓ,2022,8,2,24078,6711
CABAÑAS PUERTO HAMLET,CARILÓ,2022,4,3,25736,6711
DESIGN BUENOS AIRES,C.A.B.A.,2022,7,6,91141,1721
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2021,12,7,38598,1340
PORTAL DEL IGUAZÚ,PUERTO IGUAZÚ,2022,6,3,20082,1372
MÉRIT - PUERTO IGUAZÚ,PUERTO IGUAZÚ - MISIONES,2022,6,3,20640,1372
PARADISO PLAYA,VALERIA DEL MAR,2020,2,15,81630,1372
CABAÑAS COIRÓN,VILLA GESELL,2020,1,4,19500,1372
TRONADOR,MAR DEL PLATA,2022,6,2,33600,1372
PARADISO PLAYA,VALERIA DEL MAR,2022,10,2,36841,1372
HOTEL DEL SOL,C.A.B.A.,2023,10,5,42875,1721
PORTAL DEL IGUAZÚ,PUERTO IGUAZÚ,2022,9,4,79618,1372
PARADISO PLAYA,VALERIA DEL MAR,2022,2,5,74205,1372
DESIGN CALAFATE,CALAFATE,2022,7,4,42199,1170
LOS YÁMANAS,USHUAIA,2022,7,6,87480,1170
TRONADOR,MAR DEL PLATA,2021,8,5,35000,1170
BAHÍA MANZANO RESORT,VILLA LA ANGOSTURA, NEUQUÉN,2020,11,3,29784,1372
BAHÍA MANZANO RESORT,VILLA LA ANGOSTURA, NEUQUÉN,2020,3,3,38310,4,1372
BAHÍA MANZANO RESORT,VILLA LA ANGOSTURA, NEUQUÉN,2020,3,3,28732,8,1372
BAHÍA MANZANO RESORT,VILLA LA ANGOSTURA, NEUQUÉN,2020,3,3,28732,8,1372
BAHÍA MANZANO RESORT,VILLA LA ANGOSTURA, NEUQUÉN,2020,3,3,29784,1372
BAHÍA MANZANO RESORT,VILLA LA ANGOSTURA, NEUQUÉN,2020,3,3,32236,8,1372
PORTAL DEL IGUAZÚ,PUERTO IGUAZÚ,2022,6,5,51683,1372
PARADISO PLAYA,VALERIA DEL MAR,2022,2,10,169773,1372
BAHÍA MONTAÑA RESORT,VILLA LA ANGOSTURA, NEUQUÉN,2022,3,2,42000,1372
RIVIERA TOWER SUITES,VILLA CARLOS PAZ,2023,7,4,84000,1372
CABAÑAS COIRÓN,VILLA GESELL,2020,2,10,41040,1360
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2023,7,7,290822,1351
RESIDENCIA PARQUE BONITO,VILLA GESELL,2021,2,5,32755,1731
PORTAL DEL IGUAZÚ,PUERTO IGUAZÚ,2022,1,6,36000,1731
PORTAL DEL IGUAZÚ,PUERTO IGUAZÚ,2022,7,3,35196,1372
PREMIUM TOWER SAN LUIS,CIUDAD SAN LUIS,2020,2,4,10080,JJJJ
HOTEL PRESIDENTE ****,ROSARIO - SANTA FE,2023,6,4,60337,4612
HOWARD JOHNSON CÓRDOBA,CORDOBA,2023,5,1,20174,4612
HOWARD JOHNSON CÓRDOBA,CORDOBA,2023,5,2,39984,4612
RIVIERA TOWER SUITES,VILLA CARLOS PAZ,2023,4,3,60480,4612
MÉRIT - PUERTO IGUAZÚ,PUERTO IGUAZÚ - MISIONES,2020,4,2,9181,23,1154
TRONADOR,MAR DEL PLATA,2020,3,2,7560,1154
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2022,9,3,47907,1154
HOTEL DEL SOL,C.A.B.A.,2022,9,2,5880,1141
DESIGN BARILOCHE,SAN CARLOS DE BARILOCHE,2022,4,4,84720,1141
LAS CUMBRES,SAN MARTÍN DE LOS ANDES,2022,4,3,31953,1141
MÉRIT - PUERTO IGUAZÚ,PUERTO IGUAZÚ - MISIONES,2020,4,3,13308,1141
AMÉRIAN CARLOS PAZ,VILLA CARLOS PAZ,2023,3,3,79380,1141
HOWARD JOHNSON PLAZA BUENOS AIRES,C.A.B.A.,2023,8,1,23595,1141
HOSTAL DEL SOL,SAN BERNARDO,2023,10,3,122505,1141
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2023,4,1,25500,JJJJ
ALEJANDRO I,SALTA,2022,11,2,40992,1731
SAVOIA - OSTENDE,OSTENDE,2020,2,4,21525,1731
ALEJANDRO I,SALTA,2022,11,3,71289,1731
CABAÑAS COIRÓN,VILLA GESELL,2022,1,7,72002,1721
CABAÑAS COIRÓN,VILLA GESELL,2023,1,7,147000,1721
CABAÑAS PUERTO HAMLET,CARILÓ,2020,2,5,37360,1156
CABAÑAS PUERTO HAMLET,CARILÓ,2020,2,6,37360,1156
CABAÑAS COIRÓN,VILLA GESELL,2020,1,4,16800,1721
CABAÑAS COIRÓN,VILLA GESELL,2022,1,10,102860,1721
AMÉRIAN CARLOS PAZ,VILLA CARLOS PAZ,2022,3,3,41785,1721
CABAÑAS COIRÓN,VILLA GESELL,2023,1,8,168000,1721
ARENA RESORT HOTEL,FEDERACION, ENTRE RIOS,2020,3,4,27361,6,1721
ARENA RESORT HOTEL,FEDERACION, ENTRE RIOS,2020,3,4,27789,1721
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2022,8,6,72921,1314
HOTEL LIBERTADOR ****,ROSARIO - SANTA FE,2023,3,4,42424,1314
HOTEL PRESIDENTE ****,ROSARIO - SANTA FE,2023,5,1,17408,4613
CABAÑAS PUERTO HAMLET,CARILÓ,2023,9,2,37506,4613
PARADISO PLAYA,VALERIA DEL MAR,2021,9,3,17865,1174
DESIGN BARILOCHE,SAN CARLOS DE BARILOCHE,2021,12,7,56070,1731
DESIGN BUENOS AIRES,C.A.B.A.,2022,7,3,45208,1731
DESIGN BUENOS AIRES,C.A.B.A.,2022,10,1,10659,1731
PORTASOL APART HOTEL,PINAMAR - MUELLE DE PINAMAR,2023,1,12,331170,1721
BAHÍA MANZANO RESORT,VILLA LA ANGOSTURA, NEUQUÉN,2022,11,8,182400,4614
HOTEL PRESIDENTE ****,ROSARIO - SANTA FE,2021,1,1,3953,4614
HOTEL PRESIDENTE ****,ROSARIO - SANTA FE,2020,3,1,2952,4614
PARADISO PLAYA,VALERIA DEL MAR,2023,12,8,521625,1170
TRONADOR,MAR DEL PLATA,2021,11,8,52800,1150
DAZZLER,PUERTO MADRYN,2022,9,5,45307,1721
DESIGN CALAFATE,CALAFATE,2023,10,4,151067,1721
PARADISO PLAYA,VALERIA DEL MAR,2023,3,8,162650,1180
TRONADOR,MAR DEL PLATA,2021,11,7,39200,1180
DESIGN BUENOS AIRES,C.A.B.A.,2022,2,1,9995,1314
ALTOS DE MERLO,VILLA DE MERLO,2022,7,3,57120,1314
PARADISO PLAYA,VALERIA DEL MAR,2022,4,3,29442,1314
TRONADOR,MAR DEL PLATA,2021,10,4,24640,1314
PINARES PANORAMA SUITES & SPA,VILLA CARLOS PAZ,2021,7,3,50451,1314
PORTASOL APART HOTEL,PINAMAR - MUELLE DE PINAMAR,2020,1,6,38214,1314
LAS CUMBRES,SAN MARTÍN DE LOS ANDES,2024,1,6,447474,1314
PARADISO PLAYA,VALERIA DEL MAR,2021,12,8,79069,33,1731
PARADISO PLAYA,VALERIA DEL MAR,2022,12,5,198766,1731
PARADISO PLAYA,VALERIA DEL MAR,2023,1,4,159013,1731
PARADISO PLAYA,VALERIA DEL MAR,2023,11,7,443343,1731
TRONADOR,MAR DEL PLATA,2023,4,2,59760,1372
HOTEL DEL SOL,C.A.B.A.,2020,4,3,5280,1731
ALTOS DE BELGRANO,VILLA GENERAL BELGRANO (5194),2021,1,10,67100,1721
HOSTERÍA DEL CERRO,VILLA CATEDRAL, SAN CARLOS DE BARILOCHE,2020,3,8,24080,1372
RESIDENCIA PARQUE BONITO,VILLA GESELL,2022,2,13,104325,JJJJ
RESIDENCIA PARQUE BONITO,VILLA GESELL,2022,1,14,112350,JJJJ
HOWARD JOHNSON PLAZA BUENOS AIRES,C.A.B.A.,2023,3,2,39174,4615
DESIGN BUENOS AIRES,C.A.B.A.,2023,6,2,34685,4615
DESIGN BUENOS AIRES,C.A.B.A.,2023,6,2,40466,4615
MÉRIT - PUERTO IGUAZÚ,PUERTO IGUAZÚ - MISIONES,2020,5,4,25124,07,1331
MÉRIT - PUERTO IGUAZÚ,PUERTO IGUAZÚ - MISIONES,2020,5,4,0,1331
MÉRIT - PUERTO IGUAZÚ,PUERTO IGUAZÚ - MISIONES,2020,5,4,25508,1331
MÉRIT - PUERTO IGUAZÚ,PUERTO IGUAZÚ - MISIONES,2020,5,4,0,1331
PARADISO PLAYA,VALERIA DEL MAR,2023,1,8,300522,1151
CABAÑAS PUERTO HAMLET,CARILÓ,2022,12,3,95354,1166
CABAÑAS PUERTO HAMLET,CARILÓ,2022,12,3,62415,1166
ALTOS DE BELGRANO,VILLA GENERAL BELGRANO (5194),2023,7,7,479588,1166
BAHÍA MONTAÑA RESORT,VILLA LA ANGOSTURA, NEUQUÉN,2020,2,7,74340,1166
TRONADOR,MAR DEL PLATA,2020,3,4,13320,JJJJ
CABAÑAS COIRÓN,VILLA GESELL,2021,2,7,44625,JJJJ
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2021,7,3,21612,JJJJ
HOTEL DEL SOL,C.A.B.A.,2023,9,4,72000,JJJJ
HOTEL DEL SOL,C.A.B.A.,2023,10,1,22050,JJJJ
TRONADOR,MAR DEL PLATA,2023,3,7,94080,JJJJ
RIVIERA TOWER SUITES,VILLA CARLOS PAZ,2023,8,3,25200,JJJJ
ALTOS DE BELGRANO,VILLA GENERAL BELGRANO (5194),2022,7,7,266490,1721
SAVOIA - OSTENDE,OSTENDE,2020,1,13,118300,JJJJ
SAVOIA - OSTENDE,OSTENDE,2020,2,1,9100,JJJJ
SAVOIA - OSTENDE,OSTENDE,2020,1,13,130975,JJJJ
SAVOIA - OSTENDE,OSTENDE,2020,2,1,10075,JJJJ
PORTAL DEL IGUAZÚ,PUERTO IGUAZÚ,2023,7,5,237160,JJJJ
TRONADOR,MAR DEL PLATA,2023,7,5,237160,JJJJ
SAVOIA - OSTENDE,OSTENDE,2023,1,9,352800,JJJJ
CABAÑAS PUERTO HAMLET,CARILÓ,2020,3,5,14965,JJJJ
TRONADOR,MAR DEL PLATA,2020,2,7,21756,JJJJ
DAZZLER,PUERTO MADRYN,2021,11,8,57981,JJJJ
PORTASOL APART HOTEL,PINAMAR - MUELLE DE PINAMAR,2022,1,7,113242,1140
TRONADOR,MAR DEL PLATA,2020,2,7,24696,JJJJ
TRONADOR,MAR DEL PLATA,2022,2,10,81200,JJJJ
LAS CUMBRES,SAN MARTÍN DE LOS ANDES,2023,11,7,183855,JJJJ
BAHÍA MONTAÑA RESORT,VILLA LA ANGOSTURA, NEUQUÉN,2023,10,7,289800,JJJJ
AMÉRIAN - TUCUMÁN,SAN MIGUEL DE TUCUMÁN,2023,9,7,142086,1360
HOTEL CHAMONIX,SAN CARLOS DE BARILOCHE,2022,2,3,25650,1360
BAHÍA MANZANO RESORT,VILLA LA ANGOSTURA, NEUQUÉN,2022,10,6,86400,1360
ALTOS DE BELGRANO,VILLA GENERAL BELGRANO (5194),2022,1,6,233415,1130
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2023,10,6,221321,1160
ALEJANDRO I,SALTA,2023,3,1,38751,1160
PORTAL DEL IGUAZÚ,PUERTO IGUAZÚ,2023,5,4,174322,4430
AMÉRIAN CARLOS PAZ,VILLA CARLOS PAZ,2021,10,7,65391,4430
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2022,8,5,65292,4430
DESIGN CALAFATE,CALAFATE,2022,9,5,126483,4430
PORTAL DEL IGUAZÚ,PUERTO IGUAZÚ,2021,9,4,31548,4430
LOS YÁMANAS,USHUAIA,2021,8,5,67415,4430
ARENA RESORT HOTEL,FEDERACION, ENTRE RIOS,2021,9,7,49770,1721
PORTASOL APART HOTEL,PINAMAR - MUELLE DE PINAMAR,2020,3,7,32935,1721
PARADISO PLAYA,VALERIA DEL MAR,2022,3,7,70640,1721
DESIGN CALAFATE,CALAFATE,2022,5,5,45375,1711
SAVOIA - OSTENDE,OSTENDE,2020,1,7,73937,5,1711
TRONADOR,MAR DEL PLATA,2020,2,10,37800,JJJJ
ALTOS DE BELGRANO,VILLA GENERAL BELGRANO (5194),2020,2,10,37800,JJJJ
TRONADOR,MAR DEL PLATA,2022,2,2,17400,JJJJ
TRONADOR,MAR DEL PLATA,2022,3,8,69600,JJJJ
DESIGN SALTA,SALTA,2023,5,8,162770,1160
TRONADOR,MAR DEL PLATA,2023,4,2,34720,1180
HOSTAL DEL SOL,SAN BERNARDO,2023,4,4,50717,1180
AMÉRIAN CARLOS PAZ,VILLA CARLOS PAZ,2020,2,8,28232,1314
DESIGN CALAFATE,CALAFATE,2022,5,3,21780,1313
DESIGN CALAFATE,CALAFATE,2022,5,3,27225,1313
DESIGN BUENOS AIRES,C.A.B.A.,2023,10,4,163350,1354
BAHÍA MANZANO RESORT,VILLA LA ANGOSTURA, NEUQUÉN,2022,11,7,132300,JJJJ
ALEJANDRO I,SALTA,2022,12,7,126324,JJJJ
BAHÍA MANZANO RESORT,VILLA LA ANGOSTURA, NEUQUÉN,2023,11,7,362600,JJJJ
DESIGN BUENOS AIRES,C.A.B.A.,2022,8,5,81607,4614
CABAÑAS COIRÓN,VILLA GESELL,2021,12,5,26250,4614
