HOTRAZONSOCIAL,HOTLOCALIDAD,ANIO,MES,DIAS,Importe,CARGO
PORTASOL APART HOTEL,PINAMAR - MUELLE DE PINAMAR,2020,3,7,21119,1721
CABAÑAS COIRÓN,VILLA GESELL,2023,2,4,78400,1721
CABAÑAS COIRÓN,VILLA GESELL,2023,3,4,42000,1721
MÉRIT - PUERTO IGUAZÚ,PUERTO IGUAZÚ - MISIONES,2022,8,3,35545,1170
DESIGN BARILOCHE,SAN CARLOS DE BARILOCHE,2020,2,10,79940,1340
PORTASOL APART HOTEL,PINAMAR - MUELLE DE PINAMAR,2022,2,8,95456,1340
PORTASOL APART HOTEL,PINAMAR - MUELLE DE PINAMAR,2024,1,7,680415,1340
PORTAL DEL IGUAZÚ,PUERTO IGUAZÚ,2022,3,3,27565,1721
SAVOIA - OSTENDE,OSTENDE,2020,1,8,39000,1170
PARADISO PLAYA,VALERIA DEL MAR,2024,1,10,843500,1170
PURO MOCONA LODGE & SUITES,EL SOBERBIO, MISIONESTEL,2023,1,7,279888,1721
DESIGN BARILOCHE,SAN CARLOS DE BARILOCHE,2023,2,6,189845,1313
DESIGN BUENOS AIRES,C.A.B.A.,2023,6,1,18051,1313
DESIGN BARILOCHE,SAN CARLOS DE BARILOCHE,2020,1,2,16602,1313
BAHÍA MONTAÑA RESORT,VILLA LA ANGOSTURA, NEUQUÉN,2020,1,4,27360,1313
HOTEL CHAMONIX,SAN CARLOS DE BARILOCHE,2020,1,4,19980,1313
SAVOIA - OSTENDE,OSTENDE,2021,2,7,48300,1313
HOTEL CHAMONIX,SAN CARLOS DE BARILOCHE,2021,12,1,9441,1313
BAHÍA MONTAÑA RESORT,VILLA LA ANGOSTURA, NEUQUÉN,2021,11,3,25560,1313
HOTEL CHAMONIX,SAN CARLOS DE BARILOCHE,2021,11,1,10394,1313
DESIGN BARILOCHE,SAN CARLOS DE BARILOCHE,2021,11,2,27816,1313
PARADISO PLAYA,VALERIA DEL MAR,2020,3,5,21000,1180
ALEJANDRO I,SALTA,2022,6,7,109136,1372
ARENA RESORT HOTEL,FEDERACION, ENTRE RIOS,2022,7,5,92250,1170
ARENA RESORT HOTEL,FEDERACION, ENTRE RIOS,2023,1,6,189000,1170
CABAÑAS PUERTO HAMLET,CARILÓ,2021,12,5,96857,5,1372
HOSTERÍA DEL CERRO,VILLA CATEDRAL, SAN CARLOS DE BARILOCHE,2020,3,4,13258,1360
HOSTERÍA DEL CERRO,VILLA CATEDRAL, SAN CARLOS DE BARILOCHE,2020,10,4,23626,1360
HOSTERÍA DEL CERRO,VILLA CATEDRAL, SAN CARLOS DE BARILOCHE,2023,2,7,163951,1360
HOSTAL DEL SOL,SAN BERNARDO,2021,1,6,49770,1721
RESIDENCIA SERRANA DE TANTI,TANTI - VILLA SANTA CRUZ DEL LAGO - CORDOBA,2020,1,7,63574,1371
HOSTERÍA DEL CERRO,VILLA CATEDRAL, SAN CARLOS DE BARILOCHE,2021,1,6,63682,29,1333
LAS CUMBRES,SAN MARTÍN DE LOS ANDES,2023,1,7,259792,1333
HOTEL PRESIDENTE ****,ROSARIO - SANTA FE,2022,11,2,27798,JJJJ
TRONADOR,MAR DEL PLATA,2023,4,12,223200,JJJJ
HOTEL PRESIDENTE ****,ROSARIO - SANTA FE,2020,2,3,19291,05,JJJJ
HOTEL PRESIDENTE ****,ROSARIO - SANTA FE,2020,1,4,11872,JJJJ
HOTEL PRESIDENTE ****,ROSARIO - SANTA FE,2021,10,1,7855,3,JJJJ
PORTAL DEL IGUAZÚ,PUERTO IGUAZÚ,2022,8,6,51750,JJJJ
PORTAL DEL IGUAZÚ,PUERTO IGUAZÚ,2022,9,6,102600,JJJJ
SAVOIA - OSTENDE,OSTENDE,2022,12,7,77175,JJJJ
VALERIA,VALERIA DEL MAR,2020,1,5,25125,1180
CABAÑAS PUERTO HAMLET,CARILÓ,2021,3,4,55653,33,1190
CABAÑAS PUERTO HAMLET,CARILÓ,2022,6,5,59042,1190
CABAÑAS PUERTO HAMLET,CARILÓ,2023,9,5,100463,1190
ALEJANDRO I,SALTA,2020,4,4,15176,1731
HOSTAL DEL SOL,SAN BERNARDO,2023,1,38,200419,1731
PORTASOL APART HOTEL,PINAMAR - MUELLE DE PINAMAR,2024,1,7,721130,1731
HOTEL DEL SOL,C.A.B.A.,2022,12,1,7420,1731
DESIGN BUENOS AIRES,C.A.B.A.,2023,5,1,24394,1731
TRONADOR,MAR DEL PLATA,2022,4,3,34440,1731
PARADISO PLAYA,VALERIA DEL MAR,2023,1,7,196843,1731
PARADISO PLAYA,VALERIA DEL MAR,2024,2,7,483856,1731
RESIDENCIA PARQUE BONITO,VILLA GESELL,2023,1,10,156000,1312
HOSTERÍA DEL CERRO,VILLA CATEDRAL, SAN CARLOS DE BARILOCHE,2022,11,7,66626,JJJJ
SAVOIA - OSTENDE,OSTENDE,2021,12,4,37200,1170
SAVOIA - OSTENDE,OSTENDE,2022,3,4,23625,JJJJ
VALERIA,VALERIA DEL MAR,2022,12,7,142800,JJJJ
TRONADOR,MAR DEL PLATA,2020,1,6,16200,JJJJ
TRONADOR,MAR DEL PLATA,2023,9,2,51600,JJJJ
ALTOS DE MERLO,VILLA DE MERLO,2022,7,6,117600,1372
ALTOS DE MERLO,VILLA DE MERLO,2022,7,6,117600,1372
CABAÑAS COIRÓN,VILLA GESELL,2023,2,9,176400,1372
SAVOIA - OSTENDE,OSTENDE,2023,1,7,147000,1731
SAVOIA - OSTENDE,OSTENDE,2022,3,8,54000,1731
SAVOIA - OSTENDE,OSTENDE,2020,1,8,39000,1731
TRONADOR,MAR DEL PLATA,2021,12,7,44800,1180
ARENA RESORT HOTEL,FEDERACION, ENTRE RIOS,2021,12,2,13230,1721
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2020,2,9,28885,1372
CABAÑAS COIRÓN,VILLA GESELL,2020,1,6,31680,1180
CABAÑAS COIRÓN,VILLA GESELL,2020,1,2,10560,1180
ALTOS DE MERLO,VILLA DE MERLO,2020,3,4,15840,1170
DESIGN BARILOCHE,SAN CARLOS DE BARILOCHE,2021,10,3,50088,1170
TRONADOR,MAR DEL PLATA,2021,7,4,21600,1170
HOTEL CHAMONIX,SAN CARLOS DE BARILOCHE,2022,1,7,66150,1170
HOTEL CHAMONIX,SAN CARLOS DE BARILOCHE,2022,1,7,61740,1170
HOTEL CHAMONIX,SAN CARLOS DE BARILOCHE,2022,1,7,61740,1170
HOTEL CHAMONIX,SAN CARLOS DE BARILOCHE,2023,1,10,155400,1170
TRONADOR,MAR DEL PLATA,2023,7,3,153504,1170
TRONADOR,MAR DEL PLATA,2023,7,3,0,1170
LOS YÁMANAS,USHUAIA,2023,4,3,156555,1333
LOS YÁMANAS,USHUAIA,2023,3,5,260925,1333
TRONADOR,MAR DEL PLATA,2021,11,3,16800,JJJJ
CABAÑAS PUERTO HAMLET,CARILÓ,2022,4,7,62510,1371
CABAÑAS PUERTO HAMLET,CARILÓ,2022,4,7,62510,1371
DESIGN SALTA,SALTA,2021,9,7,39529,1711
PARADISO PLAYA,VALERIA DEL MAR,2024,2,7,440020,1711
TRONADOR,MAR DEL PLATA,2021,8,2,8400,1313
CABAÑAS PUERTO HAMLET,CARILÓ,2021,3,7,41895,1313
CABAÑAS PUERTO HAMLET,CARILÓ,2020,6,5,16035,1313
CABAÑAS PUERTO HAMLET,CARILÓ,2020,3,8,25656,1313
PARADISO PLAYA,VALERIA DEL MAR,2022,10,6,79088,1313
ARENA RESORT HOTEL,FEDERACION, ENTRE RIOS,2023,6,3,75938,1372
ALTOS DE BELGRANO,VILLA GENERAL BELGRANO (5194),2020,1,13,130754,1313
ALEJANDRO I,SALTA,2022,9,3,38932,1371
ALEJANDRO I,SALTA,2022,9,2,25846,1371
TRONADOR,MAR DEL PLATA,2021,12,6,28800,JJJJ
PARADISO PLAYA,VALERIA DEL MAR,2020,2,13,106773,16,1372
CABAÑAS PUERTO HAMLET,CARILÓ,2021,2,6,70800,1372
PARADISO PLAYA,VALERIA DEL MAR,2022,2,12,211348,1372
CABAÑAS COIRÓN,VILLA GESELL,2023,2,4,95200,1372
PARADISO PLAYA,VALERIA DEL MAR,2023,2,9,540652,1372
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2022,1,4,34470,1721
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2022,1,4,43406,95,1721
RESIDENCIA SERRANA DE TANTI,TANTI - VILLA SANTA CRUZ DEL LAGO - CORDOBA,2021,11,3,25749,1150
RESIDENCIA SERRANA DE TANTI,TANTI - VILLA SANTA CRUZ DEL LAGO - CORDOBA,2022,2,6,76728,1150
RESIDENCIA SERRANA DE TANTI,TANTI - VILLA SANTA CRUZ DEL LAGO - CORDOBA,2023,2,10,249750,1150
SAVOIA - OSTENDE,OSTENDE,2023,1,7,196875,JJJJ
HOTEL PRESIDENTE ****,ROSARIO - SANTA FE,2022,7,2,17633,JJJJ
TRONADOR,MAR DEL PLATA,2023,2,5,78000,JJJJ
TRONADOR,MAR DEL PLATA,2023,3,5,78000,JJJJ
DESIGN CALAFATE,CALAFATE,2023,4,1,24585,1313
ALEJANDRO I,SALTA,2021,11,5,38570,1313
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2021,8,3,21259,1313
SAVOIA - OSTENDE,OSTENDE,2023,3,3,37800,1340
CABAÑAS PUERTO HAMLET,CARILÓ,2023,11,6,299084,1340
DAZZLER,PUERTO MADRYN,2022,2,7,60187,82,1190
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2022,1,5,36822,5,1721
ALTOS DE MERLO,VILLA DE MERLO,2020,1,4,25004,1721
ALTOS DE MERLO,VILLA DE MERLO,2020,1,4,23312,1721
HOTEL PROVIDENCIA,GUAYMALLEN - MENDOZA,2023,7,5,52850,JJJJ
TRONADOR,MAR DEL PLATA,2023,11,2,100800,1160
PORTAL DEL IGUAZÚ,PUERTO IGUAZÚ,2021,12,5,33110,1160
PORTAL DEL IGUAZÚ,PUERTO IGUAZÚ,2021,12,4,26488,1160
PORTAL DEL IGUAZÚ,PUERTO IGUAZÚ,2021,11,5,39732,1160
ARENA RESORT HOTEL,FEDERACION, ENTRE RIOS,2021,12,8,76608,1161
TRONADOR,MAR DEL PLATA,2022,7,3,40950,1161
HOSTAL DEL SOL,SAN BERNARDO,2022,7,3,52080,1161
VALERIA,VALERIA DEL MAR,2022,10,3,49350,1161
